rating_id,paper_id,field_name,field_type,fab_risk,field_type_fl,local__span_in_source,local__value_in_span,local__span_present,openai_o4_mini_high__span_in_source,openai_o4_mini_high__value_in_span,openai_o4_mini_high__span_present,anthropic_sonnet_4_6__span_in_source,anthropic_sonnet_4_6__value_in_span,anthropic_sonnet_4_6__span_present,any_span_not_in_source,any_value_not_in_span,pass2_keep,flagged
12,9,comparison_to_human,free_text,medium,free_text,False,False,True,False,False,True,False,False,True,True,True,True,True
13,9,country,free_text,low,free_text,False,False,True,True,False,True,False,False,True,True,True,False,True
14,9,key_limitation,free_text,medium,free_text,True,False,True,True,False,True,False,False,True,True,True,True,True
15,9,robot_platform,free_text,medium,free_text,False,False,False,False,True,True,False,False,True,True,True,True,True
16,9,sample_size,numeric,medium,numeric,False,False,False,False,False,True,False,False,True,True,True,True,True
17,9,secondary_outcomes,free_text,medium,free_text,False,False,True,False,False,True,False,False,True,True,True,True,True
18,9,study_design,categorical,medium,categorical,False,False,True,False,False,True,True,False,True,True,True,True,True
19,9,system_maturity,categorical,medium,categorical,False,False,True,True,False,True,True,False,True,True,True,True,True
20,9,task_generate,categorical,medium,categorical,False,True,True,True,True,True,False,False,True,True,True,True,True
21,9,task_monitor,categorical,medium,categorical,False,True,True,False,False,True,False,False,True,True,True,True,True
22,9,task_performed,free_text,low,free_text,True,False,True,True,False,True,True,False,True,False,True,False,True
23,11,autonomy_level,categorical,medium,categorical,False,False,True,True,False,True,True,False,True,True,True,True,True
24,11,clinical_readiness_assessment,categorical,medium,categorical,False,False,True,True,False,True,False,False,True,True,True,True,True
25,11,comparison_to_human,free_text,medium,free_text,False,False,True,False,False,False,True,True,True,True,True,True,True
26,11,key_limitation,free_text,medium,free_text,False,False,True,True,False,True,False,False,True,True,True,True,True
27,11,primary_outcome_metric,free_text,low,free_text,False,False,True,True,False,True,True,False,True,True,True,False,True
28,11,primary_outcome_value,free_text,low,free_text,False,True,True,True,False,True,True,True,True,True,True,False,True
29,11,robot_platform,free_text,low,free_text,False,True,True,True,False,True,True,False,True,True,True,False,True
30,11,sample_size,numeric,low,numeric,False,False,True,False,False,False,True,False,True,True,True,False,True
31,11,secondary_outcomes,free_text,medium,free_text,False,False,True,False,False,False,False,True,True,True,True,True,True
32,11,study_design,categorical,medium,categorical,False,False,True,True,False,True,True,False,True,True,True,True,True
33,11,surgical_domain,categorical,low,categorical,False,False,True,True,False,True,True,False,True,True,True,False,True
34,11,task_generate,categorical,medium,categorical,False,True,True,True,True,True,True,False,True,True,True,True,True
35,11,task_monitor,categorical,medium,categorical,False,True,True,False,False,True,True,False,True,True,True,True,True
36,11,task_performed,free_text,low,free_text,False,True,True,True,True,True,True,False,True,True,True,False,True
37,11,task_select,categorical,medium,categorical,False,False,True,True,True,True,False,False,True,True,True,True,True
38,12,comparison_to_human,free_text,medium,free_text,False,False,True,True,True,True,False,False,True,True,True,True,True
39,12,country,free_text,low,free_text,False,False,True,True,False,True,True,False,True,True,True,False,True
40,12,key_limitation,free_text,medium,free_text,True,False,True,True,False,True,False,False,True,True,True,True,True
41,12,primary_outcome_value,free_text,medium,free_text,True,False,True,False,False,False,False,True,True,True,True,True,True
42,12,robot_platform,free_text,medium,free_text,False,False,True,False,True,True,False,True,True,True,True,True,True
43,12,secondary_outcomes,free_text,medium,free_text,False,False,True,False,False,False,False,False,True,True,True,True,True
44,12,system_maturity,categorical,medium,categorical,False,False,True,True,False,True,False,False,True,True,True,True,True
45,12,task_generate,categorical,medium,categorical,False,True,True,False,True,True,False,False,True,True,True,True,True
46,12,task_monitor,categorical,medium,categorical,False,True,True,True,True,True,False,False,True,True,True,True,True
47,12,task_performed,free_text,low,free_text,False,True,True,True,False,True,True,False,True,True,True,False,True
48,12,validation_setting,categorical,medium,categorical,True,False,True,True,False,True,False,False,True,True,True,True,True
49,14,autonomy_level,categorical,medium,categorical,False,False,True,False,False,True,True,False,True,True,True,True,True
50,14,comparison_to_human,free_text,medium,free_text,False,False,True,False,False,True,True,True,True,True,True,True,True
51,14,key_limitation,free_text,medium,free_text,False,False,True,False,False,True,True,False,True,True,True,True,True
52,14,primary_outcome_metric,free_text,medium,free_text,False,False,True,False,False,True,True,False,True,True,True,True,True
53,14,primary_outcome_value,free_text,medium,free_text,False,False,True,False,False,True,False,True,True,True,True,True,True
54,14,robot_platform,free_text,low,free_text,False,False,True,False,True,True,False,False,True,True,True,False,True
55,14,sample_size,numeric,medium,numeric,True,False,True,False,True,True,True,False,True,True,True,True,True
56,14,secondary_outcomes,free_text,medium,free_text,False,False,True,True,False,True,True,False,True,True,True,True,True
57,14,study_design,categorical,low,categorical,True,False,True,True,False,True,False,False,True,True,True,False,True
58,14,surgical_domain,categorical,medium,categorical,True,False,True,False,False,True,True,False,True,True,True,True,True
59,14,task_execute,categorical,medium,categorical,False,False,True,False,True,True,False,False,True,True,True,True,True
60,14,task_generate,categorical,medium,categorical,False,False,True,False,True,True,True,False,True,True,True,True,True
61,14,task_monitor,categorical,medium,categorical,False,True,True,False,True,True,False,False,True,True,True,True,True
62,14,task_performed,free_text,medium,free_text,True,False,True,False,False,True,True,False,True,True,True,True,True
63,14,task_select,categorical,medium,categorical,False,False,True,False,True,True,True,True,True,True,True,True,True
64,15,autonomy_level,categorical,medium,categorical,True,False,True,True,False,True,False,False,True,True,True,True,True
65,15,clinical_readiness_assessment,categorical,medium,categorical,True,False,True,True,False,True,False,False,True,True,True,True,True
66,15,key_limitation,free_text,medium,free_text,True,False,True,True,False,True,False,False,True,True,True,True,True
67,15,primary_outcome_metric,free_text,low,free_text,True,True,True,True,False,True,False,False,True,True,True,False,True
68,15,primary_outcome_value,free_text,low,free_text,True,True,True,True,False,True,False,True,True,True,True,False,True
69,15,robot_platform,free_text,medium,free_text,True,False,True,False,True,True,False,True,True,True,True,True,True
70,15,sample_size,numeric,medium,numeric,False,False,True,True,False,True,False,False,True,True,True,True,True
71,15,secondary_outcomes,free_text,medium,free_text,True,False,True,True,False,True,False,False,True,True,True,True,True
72,15,surgical_domain,categorical,low,categorical,True,False,True,True,False,True,False,False,True,True,True,False,True
73,15,system_maturity,categorical,medium,categorical,True,False,True,True,False,True,False,False,True,True,True,True,True
74,15,task_generate,categorical,medium,categorical,True,True,True,True,True,True,False,False,True,True,True,True,True
75,15,task_performed,free_text,low,free_text,True,False,True,True,False,True,True,True,True,False,True,False,True
76,15,validation_setting,categorical,low,categorical,False,False,True,True,False,True,True,False,True,True,True,False,True
77,17,comparison_to_human,free_text,low,free_text,False,False,False,False,False,False,True,False,True,True,True,False,True
78,17,key_limitation,free_text,medium,free_text,False,False,True,True,False,True,True,False,True,True,True,True,True
79,17,primary_outcome_metric,free_text,low,free_text,False,False,False,True,False,True,True,False,True,True,True,False,True
80,17,primary_outcome_value,free_text,low,free_text,False,False,False,True,False,True,True,False,True,True,True,False,True
81,17,robot_platform,free_text,low,free_text,False,True,True,True,True,True,False,False,True,True,True,False,True
82,17,sample_size,numeric,low,numeric,False,False,False,False,False,False,True,False,True,True,True,False,True
83,17,secondary_outcomes,free_text,medium,free_text,False,False,False,False,False,False,False,True,True,True,True,True,True
84,17,system_maturity,categorical,medium,categorical,False,False,True,True,False,True,False,False,True,True,True,True,True
85,17,task_monitor,categorical,medium,categorical,True,True,True,True,False,True,False,False,True,True,True,True,True
86,17,task_performed,free_text,medium,free_text,False,False,True,True,True,True,True,False,True,True,True,True,True
87,17,validation_setting,categorical,medium,categorical,False,False,True,True,False,True,True,False,True,True,True,True,True
88,22,comparison_to_human,free_text,medium,free_text,True,False,True,False,False,True,False,True,True,True,True,True,True
89,22,key_limitation,free_text,medium,free_text,False,False,True,False,True,True,False,False,True,True,True,True,True
90,22,primary_outcome_metric,free_text,medium,free_text,True,False,True,True,False,True,False,False,True,True,True,True,True
91,22,primary_outcome_value,free_text,medium,free_text,False,False,True,True,False,True,False,False,True,True,True,True,True
92,22,robot_platform,free_text,low,free_text,True,False,True,False,True,True,False,True,True,True,True,False,True
93,22,sample_size,numeric,low,numeric,True,False,True,True,False,True,True,False,True,False,True,False,True
94,22,secondary_outcomes,free_text,medium,free_text,False,False,True,True,False,True,True,False,True,True,True,True,True
95,22,system_maturity,categorical,medium,categorical,True,False,True,False,False,True,False,False,True,True,True,True,True
96,22,validation_setting,categorical,medium,categorical,True,False,True,False,False,True,True,False,True,True,True,True,True
97,24,country,free_text,low,free_text,True,False,True,True,False,True,False,False,True,True,True,False,True
98,24,key_limitation,free_text,medium,free_text,True,False,True,True,False,True,False,False,True,True,True,True,True
99,24,primary_outcome_metric,free_text,low,free_text,True,False,True,True,False,True,True,False,True,False,True,False,True
100,24,primary_outcome_value,free_text,medium,free_text,True,False,True,True,False,True,False,True,True,True,True,True,True
101,24,robot_platform,free_text,low,free_text,True,False,True,True,True,True,True,False,True,False,True,False,True
102,24,secondary_outcomes,free_text,low,free_text,True,False,True,True,True,True,True,False,True,False,True,False,True
103,24,system_maturity,categorical,medium,categorical,True,False,True,True,False,True,False,False,True,True,True,True,True
104,24,task_performed,free_text,low,free_text,True,True,True,True,True,True,True,False,True,False,True,False,True
105,24,validation_setting,categorical,medium,categorical,True,False,True,True,False,True,False,False,True,True,True,True,True
106,39,autonomy_level,categorical,high,categorical,True,False,True,False,False,True,False,False,True,True,True,True,True
107,39,clinical_readiness_assessment,categorical,low,categorical,True,False,True,True,False,True,False,False,True,True,True,False,True
108,39,comparison_to_human,free_text,low,free_text,True,False,True,True,True,True,True,False,True,False,True,False,True
