paper_id,ee_identifier,title,PI_decision,PI_notes,A_primary,A_final,A_rationale,B_primary,B_final,B_rationale,D_primary,D_final,D_rationale
336,EE-184,Clinical evaluation of autonomous robotic-assisted full-arch implant surgery: A 1-year prospective clinical study.,exclude,,IN,FLAGGED,"verifier: The abstract describes a robotic-assisted *full-arch implant surgery*, which falls under dental/oral and maxillofacial surgery – an excluded specialty. While the system is described as 'autonomous', …",OUT,OUT,"primary: The paper describes a clinical evaluation of autonomous robotic-assisted full-arch implant surgery, which is a dental specialty. According to the exclusion criteria, dental surgery is excluded. Addit…",FLAGGED,FLAGGED,"p1 exclude: The paper describes a clinical study on autonomous robotic-assisted full-arch implant surgery, which falls under dental… | p2 include: The paper describes autonomous robotic-assisted full-arch implant surgery, which involves a physical surgical task (den…"
354,EE-202,A Semi-Autonomous Stereotactic Brain Biopsy Robotic System With Enhanced Surgical Safety and Surgeon-Robot Collaboration.,exclude,,IN,FLAGGED,"verifier: The paper focuses on neurosurgery, which is an excluded specialty. While the abstract mentions semi-autonomy, the specialty exclusion overrides this. The instructions state to exclude neurosurgery pa…",IN,FLAGGED,verifier: The abstract explicitly states the study focuses on a neurosurgical system. Neurosurgery is an excluded specialty according to the specialty scope guidelines. While the abstract mentions semi-autonom…,OUT,OUT,"primary: The paper describes a semi-autonomous stereotactic brain biopsy robotic system, which falls under neurosurgery. According to the exclusion criteria, neurosurgery is explicitly excluded unless the aut…"
450,EE-298,Development and preliminary assessment of a robotic platform for neuroendoscopy based on a lightweight robot.,exclude,,IN,FLAGGED,"verifier: The specialty is neurosurgery, which is explicitly excluded unless the task is generalizable. The abstract only mentions 'autonomous' and 'hands-on control' without detailing a generalizable task or …",OUT,OUT,"primary: The paper describes a robotic platform for neuroendoscopy, which falls under neurosurgery, a specialty explicitly excluded unless the autonomous task is generalizable. The abstract mentions 'accurate…",IN,FLAGGED,verifier: The abstract is extremely brief and only states that autonomous *and* hands-on control were achieved. It does not explicitly state that the robot *executed* a surgical action autonomously. Furthermor…
264,EE-112,Precise path planning for robot-assisted craniotomy: a CT-driven virtual center method.,exclude,,IN,IN,verifier: The abstract explicitly states the development of a path planning method for *robotic* craniotomy that *automatically generates surgical paths* and integrates with *force-based robotic surgical syste…,IN,FLAGGED,"verifier: The abstract describes a robotic system used for craniotomy, but focuses on *path planning* and does not demonstrate the robot *executing* the craniotomy autonomously or semi-autonomously. The system…",OUT,OUT,"primary: The paper describes a robotic system for craniotomy, which falls under neurosurgery. According to the exclusion criteria, neurosurgery is explicitly excluded unless the autonomous task is generalizab…"
413,EE-261,Robot-Based Autonomous Neuroregistration and Neuronavigation: Implementation and Case Studies.,exclude,,IN,FLAGGED,"verifier: The paper describes a neurosurgical application, which is an excluded specialty. While the abstract details autonomous navigation and registration, the specialty context dictates exclusion based on t…",IN,FLAGGED,"verifier: The study focuses on neurosurgery, which is an excluded specialty. While the abstract describes autonomous navigation, the context is specifically neurosurgical, and the task (neuroregistration and n…",OUT,OUT,"primary: The paper describes a neurosurgical application involving autonomous robotic navigation and registration, but it is focused on neuroregistration and neuronavigation rather than performing physical su…"
280,EE-128,A novel robot-assisted subretinal injection system: preliminary validation in ex vivo porcine eyes.,exclude,,IN,FLAGGED,"verifier: The study focuses on ophthalmic surgery, which is explicitly excluded from the specialty scope. While the abstract describes a semi-autonomous component for retinal puncture, the overall surgical spe…",IN,FLAGGED,"verifier: The study focuses on ophthalmic surgery, which is explicitly excluded from the specialty scope. While the abstract describes autonomous retinal puncture, the overall context is a procedure within an …",OUT,OUT,"primary: The paper describes an ophthalmic surgery application, which falls under the excluded specialties (ophthalmic surgery). The study involves a robot-assisted system, but the specialty is explicitly exc…"
333,EE-181,Autonomous Needle Navigation in Subretinal Injections via iOCT.,exclude,,IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous needle navigation, the procedure is specific to ophthalmic/retinal injections and therefore …",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous needle navigation, the procedure (subretinal injection) falls within an excluded specialty.",OUT,OUT,"primary: The paper describes a robotic system for autonomous needle navigation in subretinal injections, which is an ophthalmic surgery specialty. According to the exclusion criteria, ophthalmic surgery is ex…"
736,EE-584,Method for Sensing Lateral Force and Skidding on the Tool Tip in Surgical Robot Deep Bone Drilling <sup>*</sup>,exclude,,IN,FLAGGED,"verifier: While the abstract mentions paving the way for *future* autonomous bone drilling, the paper itself describes a sensing system to *detect* skidding, not a system that performs autonomous drilling. The…",IN,FLAGGED,"verifier: While the abstract mentions paving the way for *future* autonomous bone drilling, the presented work focuses on sensing and estimation of skidding – it does not describe or demonstrate any autonomous…",OUT,OUT,"primary: The paper describes a sensing system for orthopedic surgical robots during bone drilling, but it does not involve autonomous or semi-autonomous robotic systems performing physical surgical tasks. The…"
613,EE-461,A Robotic Microforceps for Retinal Microsurgery With Adaptive Clamping Method,exclude,opthalmic,IN,FLAGGED,"verifier: The abstract describes a robotic microforceps, but focuses on the design and calibration of the device and an adaptive clamping *method*. While the device is 'automated', the abstract does not demons…",OUT,OUT,"primary: The paper describes a robotic microforceps for retinal microsurgery, which is a specialized procedure in ophthalmic surgery. According to the exclusion criteria, ophthalmic surgery is explicitly excl…",IN,FLAGGED,"verifier: The abstract describes a robotic microforceps, but focuses on the design and calibration of the device and a force-based clamping method. It does *not* describe the robot executing a surgical action …"
363,EE-211,Achieving functional alignment in total knee arthroplasty: early experience using a second-generation imageless semi-autonomous handheld robotic sculpting system.,exclude,orthopedic/spine,IN,FLAGGED,"verifier: The abstract describes a 'semi-autonomous' system, but the description focuses on *assisting* the surgeon and maintaining accuracy of *desired* alignment chosen by the surgeon. The robot appears to b…",OUT,OUT,"primary: The paper describes a semi-autonomous robotic system used in total knee arthroplasty, but it does not clearly involve the robotic system controlling or directing a physical robot to execute a surgica…",IN,FLAGGED,"verifier: The abstract describes a 'semi-autonomous' system, but the description focuses on *assisting* the surgeon and maintaining alignment *chosen by the surgeon*. This strongly suggests a teleoperated syst…"
