paper_id,ee_identifier,PI_decision,d1,d1_rationale,d2,d2_rationale,d1_ne_d2,primary_outcome,verifier_decision,verifier_rationale,final_outcome,primary_parse_error,primary_error,verifier_parse_error,verifier_error,primary_request_hash,verifier_request_hash,primary_wall_s,verifier_wall_s,reprocessed_after_interrupt
290,EE-138,exclude,exclude,"The paper describes a retrospective study on the accuracy of an autonomous robotic system for implant placement, but it does not specify whether the robotic system performed a physical surgical task on tissue, phantoms, or in-vivo models. The abstract lacks information on the level of autonomy (Yang et al. taxonomy), the presence of a comparator (human-controlled systems, manual surgery), or the specific surgical specialty (e.g., dental, orthopedic, etc.). Additionally, the study is retrospective and does not clearly involve a physical surgical task executed by an autonomous or semi-autonomous robotic system. The paper also does not meet the inclusion criteria for simulation studies or preclinical bench tasks. The lack of sufficient detail to determine eligibility leads to exclusion.",exclude,"The paper describes a retrospective study on the accuracy of implant placement using an autonomous robotic system, but it does not specify whether the robotic system performed a physical surgical task on tissue, phantoms, or in-vivo models. The abstract lacks information on the level of autonomy (Yang et al. taxonomy), the presence of a comparator (human-controlled systems), or the specific surgical specialty (e.g., dental, orthopedic, etc.). Additionally, the study is retrospective and does not clearly involve a physical surgical task executed by an autonomous or semi-autonomous robotic system. The paper also does not mention the inclusion of simulation studies with autonomous behavior, which is required for inclusion.",False,OUT,,,OUT,False,False,False,False,66dd8d923863a480b38e971321d00ba2decb9d296823380ae718dab600d4db7a,,8.757,,False
306,EE-154,exclude,include,"The paper describes an in vitro study comparing the accuracy of zygomatic implant placement using a task-autonomous robotic system (RAIS) versus dynamic navigation (dCAIS). It involves a physical surgical task (implant placement) and includes an autonomous robotic component that controls the execution of the surgical action. The study meets the population, intervention, and outcome criteria for the review. The specialty is not explicitly listed, but the task (zygomatic implant placement) is within the included specialties (head and neck surgery). The study is peer-reviewed, in English, and published between 2010 and 2025.",include,"The paper describes an in vitro study comparing the accuracy of zygomatic implant placement using a task-autonomous robotic system (RAIS) to dynamic navigation (dCAIS). It involves a physical surgical task (implant placement) and includes an autonomous robotic component that controls the execution of the surgical action. The study meets the population, intervention, and outcome criteria for the review. The specialty is not explicitly listed, but the task (zygomatic implant placement) is within the included specialties (head and neck surgery). The study is peer-reviewed, in English, and published between 2010 and 2025.",False,IN,exclude,"The abstract describes zygomatic implant (ZI) placement, which falls under dental/oral and maxillofacial surgery – an excluded specialty. While the system is described as 'task-autonomous', the context is a specialty-specific procedure, triggering the exclusion criteria for those fields.",FLAGGED,False,False,False,False,ba15844f4529173fff512707ac9cd32545926a45941eddd5711e75a2d73fef53,3d71186ec0de44910ea08dc1d0d24cdb7feaf72f36a6a9fc1459bdba2b3a942f,7.959,7.916,False
362,EE-210,exclude,exclude,"The paper describes dental implant surgery, which falls under the excluded specialties (dental surgery). Although the paper involves an autonomous robotic system, the specialty is excluded based on the provided criteria.",exclude,"The paper describes dental implant surgery, which falls under the excluded specialties (dental surgery). Even though the paper involves an autonomous robotic system, it is specifically focused on a dental procedure, which is outside the scope of the review.",False,OUT,,,OUT,False,False,False,False,82bc67c0f3d9069be28cbacc939e4b1c77eddbcc618cf3e5f9f9cbd9311eaa24,,3.675,,False
356,EE-204,exclude,include,"The paper describes a robotic system performing a physical surgical task (zygomatic implant placement) on a human patient, involving autonomous or semi-autonomous robotic control. It includes metrics such as task accuracy (entry point error, exit point error, angle error) and compares the robotic system to a control group (alveolar implant group). The study involves a physical surgical task in a clinical setting and meets the inclusion criteria for the specialty of oral and maxillofacial surgery. The paper is in English, peer-reviewed, and published within the specified timeframe.",include,"The paper describes autonomous robotic surgery for zygomatic implant placement, which involves a physical surgical task (zygomatic implant placement) and includes an autonomous or semi-autonomous robotic component that controls the robotic system to execute a surgical action. The study compares robotic surgery with a control group (alveolar implant group), and it reports on task accuracy (entry point error, exit point error, angle error). The paper is in English, peer-reviewed, and published between 2010 and 2025. Although the specialty is oral and maxillofacial surgery, which is excluded, the task described (zygomatic implant placement) is considered a generalizable autonomous capability and is included under the 'bench/preclinical autonomy' category.",False,IN,exclude,"The abstract describes a robotic *assistance* with implant placement, but does not detail any autonomous or semi-autonomous decision-making by the robot. The system appears to follow a pre-planned path with robotic *execution* of the plan, but lacks any indication of independent action or adaptation. This aligns with purely teleoperated/master-slave systems, which are excluded. It does not meet the criteria for an autonomous or semi-autonomous component.",FLAGGED,False,False,False,False,b1ff7c8d3daf08cd5df48b73a1b5084791d3aeb5487a77a36ccf69c461cdf981,8783367aa504eb9c527cd266d4b3e45dd66f18f99c75343d26a7a11ab915d8c4,8.278,11.677,False
336,EE-184,exclude,exclude,"The paper describes a clinical evaluation of autonomous robotic-assisted full-arch implant surgery, which is a dental specialty. According to the exclusion criteria, dental surgery is excluded. Additionally, the paper does not involve a physical surgical task on tissue, phantoms, or in-vivo models with an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The focus is on clinical performance rather than autonomy in surgical robotics.",exclude,"The paper describes a clinical evaluation of autonomous robotic-assisted full-arch implant surgery, which is a dental specialty. According to the exclusion criteria, dental surgery is excluded. Additionally, the paper does not mention any autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action; it appears to describe a robotic-assisted system rather than an autonomous one.",False,OUT,,,OUT,False,False,False,False,4e71ab3d8d73e8636649fe9396b73e6f3bf648318a07d46d45d2744f65f3ca39,,5.72,,False
600,EE-448,exclude,include,"The paper describes an autonomous robotic osteotomy system for mandibular ramal bone harvest, involving a physical surgical task on a phantom model. It compares robotic and manual osteotomy in terms of accuracy metrics (position, length, angle, depth), which aligns with the outcomes of interest. The robotic system controls the physical robot to execute a surgical action, meeting the inclusion criteria for an autonomous or semi-autonomous robotic component. The study is peer-reviewed, published in English, and within the 2010–2025 timeframe. The specialty is oral and maxillofacial surgery, which is excluded, but the task (bone harvest) is considered a generalizable autonomous capability, thus it is included.",include,"The paper describes an autonomous robotic osteotomy system for mandibular ramal bone harvest, which is a surgical task. The study involves a physical surgical task (phantom mandible) and evaluates the accuracy of the robotic system compared to manual surgery. The robotic system controls the physical robot to execute the surgical action, meeting the inclusion criteria for an autonomous or semi-autonomous robotic component. The study is peer-reviewed, published in English, and within the specified timeframe (2010–2025). The task is related to head and neck surgery, which is an included specialty. The paper does not involve non-surgical robotics or excluded specialties like orthopedic surgery in a specialty-specific context.",False,IN,exclude,"The specialty is oral and maxillofacial surgery (mandibular osteotomy), which is explicitly excluded. While bench/preclinical tasks are included regardless of specialty, this is a specific surgical task within an excluded specialty. The abstract does describe autonomous execution, a physical task, and original research, but fails the specialty scope criteria.",FLAGGED,False,False,False,False,b270d98a67a600423082947683c8d2cf5bac5c5be2b91651f91d1d7b54d8eee5,e45e5d57aa35a0b6ced8323a1533235ceb282da6a51be6f08daf058ce9950e92,8.962,9.262,False
257,EE-105,exclude,exclude,"The paper describes a robotic-assisted surgical procedure for impacted teeth extraction in children, but it does not clearly indicate that the robotic system operates autonomously or semi-autonomously. The abstract mentions an 'autonomous robotic system,' but the methodology does not specify the level of autonomy (Levels 1–5 per Yang et al. taxonomy) or whether the robotic system controls or directs a physical robot to execute a surgical action. The study is a randomized controlled trial comparing robotic surgery to conventional techniques, which does not meet the inclusion criteria requiring an autonomous or semi-autonomous robotic component that controls or directs a physical robot. Additionally, the specialty (dental surgery) is explicitly excluded.",exclude,"The paper describes a robotic-assisted surgical procedure for impacted teeth extraction in children, but it does not clearly indicate that the robotic system operates autonomously or semi-autonomously. The abstract mentions an 'autonomous robotic system,' but the methodology does not specify the level of autonomy (Levels 1–5 per Yang et al. taxonomy) or whether the robotic system controls or directs a physical robot to execute a surgical action. The study is a randomized controlled trial comparing robotic surgery to conventional techniques, which does not meet the inclusion criteria requiring an autonomous or semi-autonomous robotic component that controls or directs a physical robot. Additionally, the specialty (dental surgery) is explicitly excluded.",False,OUT,,,OUT,False,False,False,False,88eda1445ba3c3e8cf6cbb867a4c4faddd545e6e105a1b4d5ab7c66b6756a2e3,,8.517,,False
258,EE-106,exclude,include,"The paper involves a semi-autonomous robotic system (SARS) performing a physical surgical task (implant placement) in an in-vivo model (completely edentulous models). It compares the SARS to a dynamic navigation system (comparator), evaluates task accuracy (trueness and precision), and includes outcomes such as deviation measurements. The study meets the inclusion criteria for population, intervention (semi-autonomous robotic system), comparator, and outcomes. It is a peer-reviewed original research article in English, published between 2010 and 2025. The specialty is dental surgery, which is excluded, but the task (implant placement) is considered a generalizable autonomous capability and is included under the 'bench/preclinical autonomy' category.",include,"The paper involves a semi-autonomous robotic system (SARS) performing a physical surgical task (implant placement) in an in-vivo model (completely edentulous models). It compares the SARS to a dynamic navigation system (comparator), evaluates task accuracy (trueness and precision), and includes outcomes such as deviation measurements. The study meets the inclusion criteria for population, intervention (semi-autonomous robotic system), comparator, and outcomes. It is a peer-reviewed original research article in English, published between 2010 and 2025. The specialty is dental surgery, which is excluded, but the task (implant placement) is considered a generalizable autonomous capability and is included under the 'bench/preclinical autonomy' category.",False,IN,exclude,"The study focuses on dental implant surgery, which is explicitly excluded from the specialty scope. While a robotic system is involved, the surgical task is within a excluded specialty.",FLAGGED,False,False,False,False,5bd48aa8965247c3d11e5cb121962c3934ed89f130128fed177e86ad10e8ddee,f5d9295499cebe11210208f0b6cd209196619ce400af80b3e6220c872994d8f2,9.452,6.621,False
261,EE-109,exclude,exclude,"The paper describes a study on intracochlear forces during cochlear implant electrode insertion, which falls under ophthalmic surgery. Ophthalmic surgery is explicitly excluded per the specialty scope criteria. Additionally, the study does not involve autonomous or semi-autonomous robotic systems performing physical surgical tasks on tissue, phantoms, or in-vivo models, as the focus is on force measurement and clinical transferability rather than autonomy in robotic systems.",exclude,"The paper describes a study on intracochlear forces during cochlear implant electrode insertion, which falls under ophthalmic surgery. Ophthalmic surgery is explicitly excluded per the specialty scope criteria. Additionally, the study does not involve autonomous or semi-autonomous robotic systems performing physical surgical tasks on tissue, phantoms, or in-vivo models, as the focus is on force measurement and clinical transferability rather than autonomy in robotic execution.",False,OUT,,,OUT,False,False,False,False,701d18caac816077e53be75fa8b9d203a16b54639912f4bc0dec99e9d33d0198,,5.875,,False
57,EE-026,exclude,exclude,"The paper describes a clinical trial involving robotic drilling for cochlear implantation, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The robotic drilling is performed under the guidance of preoperative imaging and intraoperative imaging, but the actual drilling is not autonomously executed by the robotic system. The task is manually completed by the surgeon, and the robotic system does not demonstrate any level of autonomy (Yang et al. Levels 1–5). Additionally, the paper is a clinical trial rather than a preclinical or bench study, and the robotic system does not perform a generalizable autonomous task. The focus is on a specific clinical application rather than evaluating autonomy in surgical robotics.",exclude,"The paper describes a clinical trial involving robotic drilling for cochlear implantation, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The robotic drilling is performed under the guidance of preoperative imaging and intraoperative imaging, but the actual drilling is not autonomously executed by the robotic system. The task is manually completed by the surgeon, and the robotic system does not demonstrate any level of autonomy (Yang et al. Levels 1–5). Additionally, the paper is a clinical trial rather than a preclinical or bench study, and the robotic system does not perform a generalizable autonomous task. The paper also does not meet the inclusion criteria for simulation studies, as it describes a real-world clinical application without autonomous behavior.",False,OUT,,,OUT,False,False,False,False,e11bc5d13b836c5a51ca3a727d0040070345c318b59edf0d3a3613eb37664ec1,,9.254,,False
