paper_id,ee_identifier,title,PI_decision,PI_notes,A_primary,A_final,A_rationale,B_primary,B_final,B_rationale,C_primary,C_final,C_rationale
290,EE-138,Accuracy of Anterior Immediate Versus Delayed Implant Placement With an Autonomous Robotic System: A Retrospective Study.,exclude,,IN,FLAGGED,"verifier: The abstract describes an 'autonomous robotic system' performing implant placement, which *appears* to meet the criteria. However, the specialty is dental surgery, which is explicitly excluded. While…",OUT,OUT,"primary: The paper describes a retrospective study on the accuracy of an autonomous robotic system for implant placement, but it does not specify whether the robotic system performed a physical surgical task …",OUT,OUT,"primary: The paper describes an autonomous robotic system used in implant placement but does not clearly involve a physical surgical task on tissue, phantoms, or in-vivo models. It appears to be a retrospecti…"
362,EE-210,Accuracy of autonomous robotic surgery for single-tooth implant placement: A case series.,exclude,,IN,FLAGGED,"verifier: The study focuses on dental implant surgery, which is explicitly excluded from the specialty scope. While the abstract mentions 'autonomous robotic surgery', the context is a dental procedure, trigge…",OUT,OUT,"primary: The paper describes dental implant surgery, which falls under the excluded specialties (dental surgery). Although the paper involves an autonomous robotic system, the specialty is excluded based on t…",OUT,OUT,"primary: The paper describes a case series of autonomous robotic surgery for single-tooth implant placement, but it is focused on dental surgery, which is explicitly excluded under the specialty scope. Additi…"
336,EE-184,Clinical evaluation of autonomous robotic-assisted full-arch implant surgery: A 1-year prospective clinical study.,exclude,,IN,FLAGGED,"verifier: The abstract describes a robotic-assisted *full-arch implant surgery*, which falls under dental/oral and maxillofacial surgery – an excluded specialty. While the system is described as 'autonomous', …",OUT,OUT,"primary: The paper describes a clinical evaluation of autonomous robotic-assisted full-arch implant surgery, which is a dental specialty. According to the exclusion criteria, dental surgery is excluded. Addit…",OUT,OUT,"primary: The paper describes a clinical evaluation of an autonomous robotic-assisted full-arch implant surgery system, but it does not clearly specify the level of autonomy (Levels 1–5 per the Yang et al. tax…"
257,EE-105,Efficiency for robotic-assisted extraction of completely impacted supernumerary teeth in children: a randomized controlled trial.,exclude,,IN,FLAGGED,"verifier: The study focuses on dental surgery (extraction of impacted teeth), which is explicitly excluded from the specialty scope. While the abstract mentions 'autonomous robotic system', the context is spec…",OUT,OUT,"primary: The paper describes a robotic-assisted surgical procedure for impacted teeth extraction in children, but it does not clearly indicate that the robotic system operates autonomously or semi-autonomousl…",OUT,OUT,"primary: The paper describes a robotic-assisted surgical system for impacted teeth extraction in children, but it is explicitly stated that the robotic system is used in a conventional surgical context with t…"
261,EE-109,Robot-assisted Versus Manual: Intracochlear Forces During and After Cochlear Implant Electrode Insertion Show Benefits of Automation and Electrode Guidance.,exclude,,IN,FLAGGED,"verifier: The abstract describes a robotic *assistance* during cochlear implant insertion, focusing on force reduction. It does not detail any autonomous decision-making or control by the robot; rather, it sug…",OUT,OUT,"primary: The paper describes a study on intracochlear forces during cochlear implant electrode insertion, which falls under ophthalmic surgery. Ophthalmic surgery is explicitly excluded per the specialty scop…",FLAGGED,FLAGGED,"p1 include: The paper involves an autonomous or semi-autonomous robotic component that controls or directs a physical robot to exec… | p2 exclude: The paper describes a study comparing robot-assisted versus manual insertion of cochlear implant electrodes, focusing o…"
57,EE-026,Robotic middle ear access for cochlear implantation: First in man,exclude,,IN,FLAGGED,"verifier: While the abstract describes robotic drilling, the final step of creating the cochlear access was performed *manually* by the surgeon. The robot only performed a portion of the surgical task, and the…",OUT,OUT,"primary: The paper describes a clinical trial involving robotic drilling for cochlear implantation, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physic…",OUT,OUT,"primary: The paper describes a robotic system used in cochlear implantation, but the robotic component is primarily used for planning and drilling under the guidance of preoperative imaging and intraoperative…"
598,EE-446,AOSRV: Development and preliminary performance assessment of a new robotic system for autonomous percutaneous vertebroplasty,exclude,,IN,FLAGGED,"verifier: The specialty is neurosurgery, which is an excluded specialty. While the abstract mentions 'autonomous vertebroplasty', the procedure itself falls within the scope of neurosurgery and is therefore ex…",OUT,OUT,"primary: The paper describes a robotic system for autonomous percutaneous vertebroplasty, which falls under orthopedic surgery. According to the exclusion criteria, orthopedic surgery is excluded unless the a…",OUT,OUT,"primary: The paper describes a robotic system for autonomous percutaneous vertebroplasty, which is a neurosurgical specialty. According to the exclusion criteria, neurosurgery is explicitly excluded unless th…"
372,EE-220,Autonomous Spinal Robotic System for Transforaminal Lumbar Epidural Injections: A Proof of Concept of Study.,exclude,,IN,FLAGGED,"verifier: The abstract describes a robotic system assisting with injections, but does not detail any autonomous or semi-autonomous behavior. The system appears to facilitate accurate placement, but doesn't ind…",OUT,OUT,"primary: The paper describes a robotic system for transforaminal lumbar epidural injections, which is a procedure typically associated with neurosurgery. According to the exclusion criteria, neurosurgery is e…",OUT,OUT,"primary: The paper describes a robotic system for transforaminal lumbar epidural injections, but the abstract does not provide sufficient information to determine if the system involves autonomous or semi-aut…"
450,EE-298,Development and preliminary assessment of a robotic platform for neuroendoscopy based on a lightweight robot.,exclude,,IN,FLAGGED,"verifier: The specialty is neurosurgery, which is explicitly excluded unless the task is generalizable. The abstract only mentions 'autonomous' and 'hands-on control' without detailing a generalizable task or …",OUT,OUT,"primary: The paper describes a robotic platform for neuroendoscopy, which falls under neurosurgery, a specialty explicitly excluded unless the autonomous task is generalizable. The abstract mentions 'accurate…",OUT,OUT,primary: The paper describes a robotic platform for neuroendoscopy but does not provide sufficient information to determine if it involves autonomous or semi-autonomous robotic control of a physical surgical …
582,EE-430,Influence of the Localization Strategy on the Accuracy of a Neurosurgical Robot System,exclude,,IN,FLAGGED,"verifier: While the abstract mentions a 'robot system for frameless stereotactic neurosurgery', it focuses on localization strategies to *improve accuracy* rather than demonstrating autonomous or semi-autonomo…",OUT,OUT,"primary: The paper focuses on neurosurgical robotics, which is excluded under the specialty scope. Neurosurgery is explicitly excluded unless the autonomous task is generalizable. The paper describes a neuros…",OUT,OUT,"primary: The paper describes a neurosurgical robot system (RONNA) and evaluates localization strategies for frameless stereotactic neurosurgery. However, it does not involve any level of surgical autonomy (Le…"
