paper_id,ee_identifier,PI_decision,d1,d1_rationale,d2,d2_rationale,d1_ne_d2,primary_outcome,verifier_decision,verifier_rationale,final_outcome,primary_parse_error,primary_error,verifier_parse_error,verifier_error,primary_request_hash,verifier_request_hash,primary_wall_s,verifier_wall_s,reprocessed_after_interrupt
290,EE-138,exclude,include,"The paper describes an autonomous robotic system used in implant placement, which involves a physical surgical task (implant placement) and an autonomous robotic component that controls the execution of the surgical action. The study is on a clinical application involving an autonomous robotic system, meeting the inclusion criteria for surgical robotics.",include,"The paper describes an autonomous robotic system used in implant placement, which involves a physical surgical task. The system is described as autonomous, aligning with the inclusion criteria for autonomous or semi-autonomous surgical robotics. The study involves a clinical application (implant placement) and meets the specialty scope for general surgery.",False,IN,exclude,"The abstract describes an 'autonomous robotic system' performing implant placement, which *appears* to meet the criteria. However, the specialty is dental surgery, which is explicitly excluded. While bench/preclinical tasks are included regardless of specialty, implant placement is a specialty-specific task. Therefore, the paper does not meet the inclusion criteria.",FLAGGED,False,False,False,False,42f4c10181a300563f7df6b28fc4f9c018dd2f7b8a63590fd9cdef8acb678dd5,30700a53fbf95f34e82f6bfb4c51022811a1132843153e56a323f1f862ac2e99,6.949,13.499,False
306,EE-154,exclude,include,"The paper describes a task-autonomous robotic system for zygomatic implant placement, which involves a physical surgical task (implant placement) and an autonomous robotic component that controls or directs a physical robot to execute a surgical action. It meets the inclusion criteria for involving autonomous or semi-autonomous surgical robotics and is within the scope of the review.",include,"The paper describes a task-autonomous robotic system for zygomatic implant placement, which involves a physical surgical task (implant placement) and an autonomous robotic component that controls the execution of the surgical action. The study is an in vitro experiment, which fits within the inclusion criteria for physical surgical tasks. The focus on accuracy aligns with the outcomes of interest.",False,IN,exclude,"The paper focuses on zygomatic implant placement, which falls under dental/oral and maxillofacial surgery – an excluded specialty. While the abstract mentions a 'task-autonomous robotic system', the context is specifically related to implant placement within this excluded specialty. Therefore, it does not meet the inclusion criteria despite the presence of autonomy.",FLAGGED,False,False,False,False,60ca69a9e2f63fc636d5d420319e5bc3f683c8e8f897b5358eaeac5da39c46d6,10ee96743507f6e112cd0ec16be5bfd50bc73ed46f76535f030422dd13eb9af0,4.986,8.798,False
362,EE-210,exclude,include,"The paper describes an autonomous robotic system (r-CAIS) that performs physical surgical tasks (implant placement) under the surgeon's supervision. The robotic system automatically executes the surgical action (osteotomy and placement), which meets the inclusion criteria for autonomous or semi-autonomous surgical robotics. The study involves a physical surgical task (dental implant placement) and evaluates accuracy, which aligns with the outcomes of interest.",include,"The paper describes an autonomous robotic system (r-CAIS) that performs physical surgical tasks (implant placement) under the surgeon's supervision. The robotic system automatically executes the surgical action (osteotomy and placement), which meets the inclusion criteria for autonomous or semi-autonomous surgical robotics. The study involves a physical surgical task (dental implant placement) and evaluates accuracy, which aligns with the outcomes of interest.",False,IN,exclude,"The study focuses on dental implant surgery, which is explicitly excluded from the specialty scope. While the abstract mentions 'autonomous robotic surgery', the context is a dental procedure, triggering the exclusion criteria.",FLAGGED,False,False,False,False,09d3543ddc818bc4dc57c74559f12834a6cf6ce48c0ab239be948872705a5af8,f871388ead9c78e16b15b5be0830bc16ea3f550227e8d857b7daec1c35fe7bb0,5.807,6.877,False
356,EE-204,exclude,include,"The paper describes the use of an autonomous robotic system for zygomatic implant placement, which is a surgical task. The robotic system controls the implantation process with preoperative planning and precision drills, indicating autonomous or semi-autonomous robotic behavior. The study involves a physical surgical task (zygomatic implant placement) and evaluates accuracy and error rates, which aligns with the inclusion criteria.",include,"The paper describes the use of an autonomous robotic system for zygomatic implant placement, which is a surgical task. The robotic system controls the implantation process with preoperative planning and precision drills, indicating autonomous or semi-autonomous robotic behavior. The study involves a physical surgical task (zygomatic implant placement) and evaluates accuracy and error rates, which aligns with the inclusion criteria.",False,IN,exclude,"While the paper describes robotic *assistance* with implant placement, the abstract does not indicate any autonomous or semi-autonomous behavior of the robot. The system appears to follow a pre-planned path with precision, but there's no mention of the robot making independent decisions about motion, planning, or execution. It seems to be a highly precise robotic *tool* rather than an autonomous surgical system. This falls under purely teleoperated/master-slave robotic surgery.",FLAGGED,False,False,False,False,c665db1d96f1fdd299c3412f7c2c6cae6b8fe8aab15ac39eed2198ec3d879ffe,1ede64b582b3170bf9234989c519a7a6bd9f6f9c0a97e848d3549d41e37f7862,5.516,11.798,False
336,EE-184,exclude,include,"The paper describes autonomous robotic-assisted full-arch implant surgery, which involves a robotic system performing a physical surgical task (implant placement) with autonomy. The ADIR system is implied to control or direct the robotic execution of the surgical action, meeting the inclusion criteria for autonomous or semi-autonomous surgical robotics. The study involves a clinical setting and a physical surgical task, and the title and abstract suggest the presence of an autonomous robotic component.",include,"The paper describes an autonomous robotic-assisted system (ADIR) used in full-arch implant surgery, which involves a physical surgical task. The system is described as achieving positional accuracy, indicating it controls or directs a physical robot to execute a surgical action. The paper is in English, peer-reviewed, and involves a clinical evaluation of an autonomous robotic system in a surgical context. It meets the inclusion criteria for autonomous or semi-autonomous surgical robotics.",False,IN,exclude,"The abstract describes a robotic-assisted *full-arch implant surgery*, which falls under dental/oral and maxillofacial surgery – an excluded specialty. While the system is described as 'autonomous', the context is specifically related to implant placement, a procedure within the excluded specialty. The paper does not describe a generalizable autonomous task.",FLAGGED,False,False,False,False,49418555fd69a7adb9c4e1245655c56427ea6767e55f1e4d2e4a445a93ca8a4e,3222731acef159e9fe8725bdeaff5c7a996117202d0a470b5293da4930b1d931,5.923,9.016,False
600,EE-448,exclude,include,"The paper describes an autonomous robot osteotomy system that performs a physical surgical task (bone harvesting) on a mandible phantom. The robotic system is designed to execute the osteotomy autonomously, with accuracy evaluated against manual surgery. The system controls a physical robot to perform the surgical action, meeting the inclusion criteria for autonomous surgical robotics.",include,"The paper describes an autonomous robot osteotomy system that performs a physical surgical task (bone harvesting) on a mandible phantom. The robotic system is designed to execute the osteotomy autonomously, with accuracy compared to manual surgery. The system controls a physical robot to perform the surgical action, meeting the inclusion criteria for autonomous surgical robotics.",False,IN,exclude,"The study focuses on mandibular osteotomy, which falls under oral and maxillofacial surgery – an excluded specialty. While the abstract describes an autonomous robot performing the osteotomy, the specialty exclusion overrides inclusion criteria.",FLAGGED,False,False,False,False,539466d89435cc7a712f4dffd80c5eec48b9bb39a1e31fac0582464d832b54ad,914269cad1c0cbb8a29263e95aab2a80387dc2a8bd6cd6174b9ff1e1585be625,4.915,7.163,False
257,EE-105,exclude,include,"The paper describes an autonomous robotic system used for impacted teeth extraction in children, with outcomes related to operative time and bone resection volume. The system is presented as reducing operative time and bone resection volume compared to conventional techniques, indicating autonomous robotic behavior in a surgical context. The paper involves a physical surgical task (tooth extraction) and includes an autonomous robotic component that controls or directs a physical robot to execute a surgical action.",include,"The paper describes an autonomous robotic system used for impacted teeth extraction in children, with outcomes related to operative time and bone resection volume. The system is presented as reducing operative time and bone resection volume compared to conventional techniques, indicating autonomous robotic behavior in a surgical context. The paper involves a physical surgical task (tooth extraction) and includes an autonomous robotic component that controls or directs a physical robot to execute a surgical action.",False,IN,exclude,"The study focuses on dental surgery (extraction of impacted teeth), which is explicitly excluded from the specialty scope. While the abstract mentions 'autonomous robotic system', the context is specifically oral/dental surgery, triggering the exclusion criteria.",FLAGGED,False,False,False,False,96d2de8a18817d30c49c3f239b96195a0dce549102895df50dff23615fec12b2,ecf5f87a78e8b8e73a469f0706d535fd2f5ea7a13246e01033e37b6e79646b2a,5.921,7.539,False
258,EE-106,exclude,include,"The paper describes a semi-autonomous robotic system (SARS) used for implant placement in completely edentulous models, comparing its accuracy to a dynamic navigation system. The robotic system controls the physical execution of the surgical task, meeting the inclusion criteria for autonomous or semi-autonomous surgical robotics. The study involves a physical surgical task (implant placement) and evaluates task accuracy, which aligns with the review focus.",include,"The paper describes a semi-autonomous robotic system (SARS) used for implant placement in completely edentulous models, which involves a physical surgical task (implant placement) and an autonomous or semi-autonomous robotic component that controls the execution of the surgical action. The study compares the accuracy of the robotic system with a dynamic navigation system, meeting the inclusion criteria for surgical robotics with semi-autonomous behavior.",False,IN,exclude,"The paper focuses on dental implant surgery, which is explicitly excluded from the specialty scope. While a robotic system is involved, the context is a specifically dental procedure, triggering the exclusion criteria.",FLAGGED,False,False,False,False,6bc1938bf0eaef643e98f1234e988e0acbb5ea9bee98f1091cb9025c4984a6d5,5bea9e56b43fea9ba09dbe582dfa1b233136d4c40de02c63e54739b0466b9be2,5.813,6.952,False
261,EE-109,exclude,include,"The paper discusses robot-assisted surgical procedures involving automation and electrode guidance during cochlear implant insertion, which aligns with the inclusion criteria for autonomous or semi-autonomous surgical robotics. The focus on force reduction and reproducibility through robotic devices suggests the involvement of an autonomous or semi-autonomous robotic component controlling a physical robot to execute a surgical action.",include,"The paper discusses robot-assisted surgical procedures during cochlear implant electrode insertion, which involves an autonomous or semi-autonomous robotic component controlling the physical robot to execute a surgical action. The study compares robotic assistance with manual techniques, aligning with the inclusion criteria for autonomous or semi-autonomous surgical robotics. The focus on force reduction and reproducibility suggests the use of robotic control in a surgical context.",False,IN,exclude,"The abstract describes a robotic *assistance* during cochlear implant insertion, focusing on force reduction. It does not detail any autonomous decision-making or control by the robot; rather, it suggests reducing *manual* interactions. This indicates a primarily teleoperated system with potential for improved guidance, but lacks the autonomous/semi-autonomous component required for inclusion. It fails test #2.",FLAGGED,False,False,False,False,16ad37e50c1874470c58647f2b81f3ae41a4bc7061edb0b3e62613aa35be689b,d29a84b4e35441cfddaf660ac09c014d32267267c13cf71c7851c49f6ffa1751,5.21,9.971,False
57,EE-026,exclude,include,"The paper describes the use of a robotic system to perform a keyhole access tunnel to the tympanic cavity and robotic drilling to the level of the facial recess, which represents an autonomous or semi-autonomous robotic component controlling a physical robot to execute a surgical action. The robotic drilling is a physical surgical task performed on a human patient, meeting the inclusion criteria for autonomous or semi-autonomous surgical robotics.",include,"The paper describes the use of a robotic system to perform a keyhole access tunnel to the tympanic cavity and robotic drilling to the level of the facial recess, which represents an autonomous or semi-autonomous robotic component controlling a physical robot to execute a surgical action. The robotic drilling is a physical surgical task performed on a human patient, meeting the inclusion criteria for autonomous or semi-autonomous surgical robotics.",False,IN,exclude,"While the abstract describes robotic drilling, the final step of creating the cochlear access was performed *manually* by the surgeon. The robot only performed a portion of the surgical task, and the critical step remained under direct human control. This does not meet the criteria for a semi-autonomous or autonomous surgical task as the robot does not DIRECT or CONTROL the completion of the surgical action. It is effectively a robot-assisted, but not robot-directed, procedure.",FLAGGED,False,False,False,False,a013fd40d44bffd462fa29ebbc1973324e1c2b6e0957ebc9903e8af59e3a4d28,f1cb65daf9ba7e35a2c55d9cd53f0f848672fd4f8f55080ad968249f7dc3f0e7,5.492,11.64,False
