paper_id,ee_identifier,PI_decision,d1,d1_rationale,d2,d2_rationale,d1_ne_d2,primary_outcome,verifier_decision,verifier_rationale,final_outcome,primary_parse_error,primary_error,verifier_parse_error,verifier_error,primary_request_hash,verifier_request_hash,primary_wall_s,verifier_wall_s,reprocessed_after_interrupt
290,EE-138,exclude,exclude,"The paper describes an autonomous robotic system used in implant placement but does not clearly involve a physical surgical task on tissue, phantoms, or in-vivo models. It appears to be a retrospective clinical study focused on patient outcomes rather than evaluating the autonomy level or performance metrics of the robotic system in executing a surgical task. Additionally, the abstract does not provide sufficient detail to confirm the presence of an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action.",exclude,"The paper describes an autonomous robotic system used in implant placement but does not clearly involve a physical surgical task on tissue, phantoms, or in-vivo models. It appears to be a retrospective clinical study focused on patient outcomes rather than evaluating the autonomy level or performance metrics of the robotic system in executing a surgical task. Additionally, the abstract does not provide sufficient detail to confirm the presence of an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action.",False,OUT,,,OUT,False,False,False,False,0a54855491721a90e4682c50d6b9a6235835539cc61aeebade733275073b827a,,6.59,,False
306,EE-154,exclude,include,"The paper involves a task-autonomous robotic system for zygomatic implant placement, which is a physical surgical task. The study compares the accuracy of a task-autonomous system with dynamic navigation, meeting the intervention and comparator criteria. The study is an in vitro model, which is acceptable under the inclusion criteria. The paper is in English, peer-reviewed, and published within the specified timeframe. The abstract indicates the presence of an autonomous robotic component controlling the surgical action, which meets the inclusion criteria.",include,"The paper involves a task-autonomous robotic system for zygomatic implant placement, which is a physical surgical task. The study compares the accuracy of a task-autonomous system with dynamic navigation, meeting the intervention and comparator criteria. The study is an in vitro model, which is acceptable under the inclusion criteria. The paper is in English, peer-reviewed, and published within the specified timeframe. The abstract suggests the presence of an autonomous component controlling the robotic system to execute a surgical action, which meets the inclusion criteria.",False,IN,exclude,"The abstract describes zygomatic implant (ZI) placement, which falls under dental/oral and maxillofacial surgery – an excluded specialty. While the system is described as 'task-autonomous', the context is a specialty-specific procedure, triggering the exclusion criteria for those fields.",FLAGGED,False,False,False,False,39661dfc15dd72fd13d0f5d5241b2569560b9cae243b2df9ea68641b9bedc8d8,3d71186ec0de44910ea08dc1d0d24cdb7feaf72f36a6a9fc1459bdba2b3a942f,6.526,7.978,False
362,EE-210,exclude,exclude,"The paper describes a case series of autonomous robotic surgery for single-tooth implant placement, but it is focused on dental surgery, which is explicitly excluded under the specialty scope. Additionally, the study is a case series, which is excluded as it does not meet the inclusion criteria for peer-reviewed original research. The robotic system appears to be under surgeon supervision, and the description suggests it is more teleoperated than autonomous, lacking independent decision-making by the system.",exclude,"The paper describes a case series of autonomous robotic surgery for single-tooth implant placement, which falls under dental surgery. According to the exclusion criteria, dental surgery is explicitly excluded from the review. Additionally, the study is a case series, which is excluded as it does not meet the inclusion criteria for peer-reviewed original research (journal article or full conference paper) and is not a systematic review, meta-analysis, or scoping review. However, the primary exclusion criterion here is the specialty of dental surgery.",False,OUT,,,OUT,False,False,False,False,ed536bf8ed2671ffbb012d17753d96e8775600a63dba47a199430fc37f075f54,,6.502,,False
356,EE-204,exclude,include,"The paper describes a robotic system used for zygomatic implant placement, which is a surgical task. The robotic system controls the execution of the implant placement, indicating an autonomous or semi-autonomous component. The study involves a physical surgical task (zygomatic implant placement) and compares the robotic system with a control group (alveolar implant group). The outcomes include accuracy metrics (entry point error, exit point error, angle error), which align with the review's outcomes. The paper is in English, a peer-reviewed original research article, and published within the specified timeframe. The specialty (maxillofacial surgery) is included in the review's scope.",include,"The paper describes a robotic system used for zygomatic implant placement, which is a surgical task. The robotic system controls the execution of the implant placement, indicating an autonomous or semi-autonomous component. The study involves a physical surgical task (zygomatic implant placement) and compares the robotic system with a control group (alveolar implant group). The outcomes include accuracy metrics (entry point error, exit point error, angle error), which align with the review's outcomes. The paper is in English, a peer-reviewed original research article, and published within the specified timeframe. The specialty is oral and maxillofacial surgery, which is excluded, but the task described (zygomatic implant placement) is considered a generalizable autonomous capability and is included under the 'bench/preclinical autonomy' category.",False,IN,exclude,"The abstract describes a robotic *assistance* with implant placement, but does not detail any autonomous or semi-autonomous decision-making by the robot. The system appears to follow a pre-planned path with robotic *execution* of the plan, but lacks any indication of independent action or adaptation. This aligns with purely teleoperated/master-slave systems, which are excluded. It does not meet the criteria for an autonomous or semi-autonomous component.",FLAGGED,False,False,False,False,36595240872caacffa3dba97368ae6b4b514711d7105e722df20acff56d477e0,8783367aa504eb9c527cd266d4b3e45dd66f18f99c75343d26a7a11ab915d8c4,9.153,11.664,False
336,EE-184,exclude,exclude,"The paper describes a clinical evaluation of an autonomous robotic-assisted full-arch implant surgery system, but it does not clearly specify the level of autonomy (Levels 1–5 per the Yang et al. taxonomy) or whether the system independently controls or directs a physical robot to execute a surgical action. The abstract suggests the system is autonomous but lacks explicit details on the autonomy level, the presence of an autonomous or semi-autonomous component, and whether the system makes independent decisions about motion, planning, or execution. Additionally, the paper may fall under the exclusion criteria for purely teleoperated systems or not meeting the criteria for an autonomous or semi-autonomous robotic component. The abstract also does not provide sufficient information to determine eligibility for inclusion.",exclude,"The paper describes a clinical evaluation of an autonomous robotic-assisted full-arch implant surgery system, but it does not clearly specify the level of autonomy (Levels 1–5 per the Yang et al. taxonomy) or whether the system makes independent decisions about motion, planning, or execution. Additionally, the abstract does not provide sufficient detail to confirm that the system involves an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The paper also lacks explicit mention of task accuracy, error rate, or safety events, which are key outcomes for inclusion. Furthermore, the paper appears to describe a clinical application rather than a study involving physical surgical tasks on tissue, phantoms, or in-vivo models with an autonomous or semi-autonomous robotic component.",False,OUT,,,OUT,False,False,False,False,8270751fa997703b526e9e16cd1911f80d497c273134fb91007036a0f09d7354,,9.189,,False
600,EE-448,exclude,include,"The paper describes an autonomous robotic osteotomy system for mandibular ramal bone harvest, involving a physical surgical task on a phantom model. The robotic system performs autonomous actions, and the study compares robotic and manual osteotomy accuracy. The paper meets the inclusion criteria for population, intervention (autonomous robotic system), and outcomes (accuracy/error rate). It is a peer-reviewed original research article in English, published between 2010 and 2025. The specialty is oral and maxillofacial surgery, which is excluded, but the task described (bone harvest) is considered a generalizable autonomous capability and thus included under the 'bench/preclinical autonomy' category.",include,"The paper describes an autonomous robotic osteotomy system for mandibular ramal bone harvest, involving a physical surgical task on a phantom model. The robotic system performs autonomous actions, and the study compares robotic and manual osteotomy in terms of accuracy metrics. The study meets the inclusion criteria for population, intervention (autonomous robotic system), and outcomes (task accuracy). It is within the included specialty (oral and maxillofacial surgery is excluded, but the paper is about a generalizable autonomous task in a dental context, which is included under the 'bench/preclinical autonomy' category).",False,IN,exclude,"The specialty is oral and maxillofacial surgery (mandibular osteotomy), which is explicitly excluded. While bench/preclinical tasks are included regardless of specialty, this is a specific surgical task within an excluded specialty. The abstract does describe autonomous execution, a physical task, and original research, but fails the specialty scope criteria.",FLAGGED,False,False,False,False,4c43b2833b0353d31e65fc2b6a34383a9eb2907ad7f4ad602a584a50c7fe19b7,e45e5d57aa35a0b6ced8323a1533235ceb282da6a51be6f08daf058ce9950e92,8.112,9.299,False
257,EE-105,exclude,exclude,"The paper describes a robotic-assisted surgical system for impacted teeth extraction in children, but it is explicitly stated that the robotic system is used in a conventional surgical context with the surgeon performing the task. The abstract indicates that the robotic system is used to assist in the procedure, not to autonomously or semi-autonomously control the execution of the surgical action. The system does not make independent decisions about motion, planning, or execution, which disqualifies it under the inclusion criteria that require an autonomous or semi-autonomous robotic component. Additionally, the paper is a randomized controlled trial comparing robotic-assisted surgery to conventional techniques, which falls under the exclusion criteria for purely teleoperated systems without autonomous components.",exclude,"The paper describes a robotic-assisted surgical procedure for impacted teeth extraction in children, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. Instead, it describes a robotic-assisted system where the human surgeon likely maintains direct control, as indicated by the term 'robotic-assisted' and the comparison to conventional surgical techniques. The study does not meet the inclusion criteria for involving an autonomous or semi-autonomous robotic component that makes independent decisions about motion, planning, or execution.",False,OUT,,,OUT,False,False,False,False,95e9299722297409cba956a8ab84cb263ad125723fcc8c18dbd8c4f4206d9aae,,8.17,,False
258,EE-106,exclude,include,"The paper involves a semi-autonomous robotic system (SARS) performing a physical surgical task (implant placement in completely edentulous models). It compares the system to a dynamic navigation system, which serves as a comparator. The study evaluates task accuracy (trueness and precision) and includes outcomes such as deviation measurements. The robotic system controls the execution of the surgical action, meeting the criteria for an autonomous or semi-autonomous component. The study is an in vitro model, which is acceptable under the inclusion criteria. The paper is peer-reviewed, in English, and published between 2010 and 2025.",include,"The paper involves a semi-autonomous robotic system (SARS) performing a physical surgical task (implant placement in completely edentulous models). It compares the system to a dynamic navigation system, which serves as a comparator. The study evaluates task accuracy (trueness and precision) and includes outcomes such as deviation measurements. The robotic system controls the execution of the surgical action, meeting the requirement for an autonomous or semi-autonomous component. The study is an in vitro model, which is acceptable under the inclusion criteria. The paper is in English, peer-reviewed, and published between 2010 and 2025. It does not involve excluded specialties (dental surgery is included in the scope).",False,IN,exclude,"The study focuses on dental implant surgery, which is explicitly excluded from the specialty scope. While a robotic system is involved, the surgical task is within a excluded specialty.",FLAGGED,False,False,False,False,609ad72d8cb9e66b394fe3cb338526e9917adde9abeff10235ae305287436a89,f5d9295499cebe11210208f0b6cd209196619ce400af80b3e6220c872994d8f2,8.716,6.603,False
261,EE-109,exclude,include,"The paper involves an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action (robot-assisted electrode insertion). It addresses a physical surgical task (cochlear implant electrode insertion) and includes outcomes such as force reduction, which could relate to task accuracy or error rate. The study is in the context of a surgical specialty (otologic surgery, which is not explicitly excluded). The abstract provides enough information to suggest eligibility, and the paper is likely peer-reviewed.",exclude,"The paper describes a study comparing robot-assisted versus manual insertion of cochlear implant electrodes, focusing on intracochlear forces. However, it does not clearly involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The study appears to be a comparison between robot-assisted and manual techniques, which may fall under purely teleoperated systems rather than systems with autonomous decision-making. Additionally, the specialty of ophthalmic surgery (cochlear implantation is not included in the specified included specialties) and the lack of clear evidence of autonomy in the robotic component lead to exclusion.",True,FLAGGED,,,FLAGGED,False,False,False,False,529480bfe861c6d8b4033231a089e6639bcc3235b13630dbe5844409365a705b,,7.268,,False
57,EE-026,exclude,exclude,"The paper describes a robotic system used in cochlear implantation, but the robotic component is primarily used for planning and drilling under the guidance of preoperative imaging and intraoperative imaging. The robotic system does not demonstrate autonomous or semi-autonomous control of the surgical task, as the drilling is performed under the supervision of the surgeon and the final cochlear access is manually created. The system does not make independent decisions about motion, planning, or execution, which disqualifies it under the exclusion criteria for purely teleoperated systems.",exclude,"The paper describes a robotic system used in cochlear implantation, but the robotic component is primarily used for planning and drilling under the surgeon's control. The robotic system does not demonstrate autonomous or semi-autonomous behavior that independently makes decisions about motion, planning, or execution. The task is manually completed by the surgeon after robotic drilling, which does not meet the inclusion criteria requiring an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action.",False,OUT,,,OUT,False,False,False,False,05f3d49d99e74a0f1362832d676b1dfbbb8aeae1b2de5682e11726e9d7356619,,6.645,,False
