paper_id,ee_identifier,PI_decision,d1,d1_rationale,d2,d2_rationale,d1_ne_d2,primary_outcome,verifier_decision,verifier_rationale,final_outcome,primary_parse_error,primary_error,verifier_parse_error,verifier_error,primary_request_hash,verifier_request_hash,primary_wall_s,verifier_wall_s,reprocessed_after_interrupt
290,EE-138,exclude,exclude,"The paper describes an autonomous robotic system used in implant placement, but it does not mention any physical surgical task involving tissue, phantoms, or in-vivo models. The focus is on clinical outcomes (patient satisfaction) rather than evaluating surgical autonomy, task accuracy, or safety events. Additionally, the title and abstract do not provide evidence of the system controlling or directing a physical robot to execute a surgical action, which is a key inclusion criterion.",exclude,"The paper describes an autonomous robotic system used in implant placement, but it does not mention any physical surgical task involving tissue, phantoms, or in-vivo models. The focus is on clinical outcomes (patient satisfaction) rather than evaluating the autonomy level, task accuracy, or safety events in a surgical context. Additionally, the title and abstract do not provide evidence of the robotic system controlling or directing a physical robot to execute a surgical action, which is a key inclusion criterion.",False,OUT,,,OUT,False,False,False,False,7374b6189cebb6b490c721e38bdaf8dd37b1d5be1066d822e4752c95339caa63,,6.406,,False
306,EE-154,exclude,include,"The paper involves a task-autonomous robotic system for zygomatic implant placement, which is a physical surgical task. It compares the accuracy of a task-autonomous robotic system with dynamic navigation, meeting the intervention and comparator criteria. The study is an in vitro study, which is within the inclusion criteria for physical surgical tasks. The title and abstract suggest the presence of an autonomous robotic component, which is a key inclusion criterion. The paper is in English and appears to be a peer-reviewed original research article. There is no indication that it is a systematic review, meta-analysis, or non-surgical robotics application.",include,"The paper involves a task-autonomous robotic system for zygomatic implant placement, which is a physical surgical task. It compares the accuracy of a task-autonomous robotic system with dynamic navigation, meeting the intervention and comparator criteria. The study is an in vitro study, which is within the inclusion criteria for physical surgical tasks. The title and abstract suggest the presence of an autonomous robotic component, which is a key inclusion criterion. The paper is in English and appears to be a peer-reviewed original research article. There is no indication that it is a systematic review, meta-analysis, or non-surgical robotics application.",False,IN,exclude,"The abstract describes zygomatic implant (ZI) placement, which falls under dental/oral and maxillofacial surgery – an excluded specialty. While the system is described as 'task-autonomous', the context is a specialty-specific procedure, triggering the exclusion criteria for those fields.",FLAGGED,False,False,False,False,6bf5d424f16c50c12df7f40f85b6a90a4e2ede7d2e6db2bd10aa499fa6b7afe6,3d71186ec0de44910ea08dc1d0d24cdb7feaf72f36a6a9fc1459bdba2b3a942f,7.848,8.304,False
362,EE-210,exclude,exclude,"The paper describes dental implant surgery, which falls under the excluded specialties (dental surgery). Even though the paper involves autonomous robotic surgery, the specialty is explicitly excluded according to the review's criteria.",exclude,"The paper describes dental implant surgery, which falls under the excluded specialties (dental surgery). Even though the paper involves autonomous robotic surgery, the specialty is explicitly excluded according to the review's criteria.",False,OUT,,,OUT,False,False,False,False,30be6f3e4a26cf7255b3cc88d6c77eddb3a944562487e08581b932d7b786681e,,3.649,,False
356,EE-204,exclude,include,"The paper describes a robotic system performing a physical surgical task (zygomatic implant placement) with autonomous or semi-autonomous control. It involves a physical surgical task on a human patient, includes preoperative planning and robotic execution, and reports on accuracy metrics. The study meets the inclusion criteria for population, intervention, and outcomes. It is a peer-reviewed original research article in English, published within the specified timeframe. The specialty (oral and maxillofacial surgery) is excluded, but the paper describes a generalizable autonomous task (implant placement) rather than a specialty-specific one, so it is included.",include,"The paper describes a robotic system performing a physical surgical task (zygomatic implant placement) with autonomous or semi-autonomous control. It involves a physical surgical task on a human patient, includes preoperative planning and robotic execution, and reports on accuracy metrics. The study meets the inclusion criteria for population, intervention, and outcomes. It is a peer-reviewed original research article in English, published within the specified timeframe. The specialty (oral and maxillofacial surgery) is excluded, but the paper describes a generalizable autonomous task (implant placement) rather than a specialty-specific one, so it is included.",False,IN,exclude,"The abstract describes a robotic *assistance* with implant placement, but does not detail any autonomous or semi-autonomous decision-making by the robot. The system appears to follow a pre-planned path with robotic *execution* of the plan, but lacks any indication of independent action or adaptation. This aligns with purely teleoperated/master-slave systems, which are excluded. It does not meet the criteria for an autonomous or semi-autonomous component.",FLAGGED,False,False,False,False,61cb763acd2a4d14caab6db0afaae942362c18c7e0a67f97c5316b5c173a80d4,8783367aa504eb9c527cd266d4b3e45dd66f18f99c75343d26a7a11ab915d8c4,8.133,11.898,False
336,EE-184,exclude,exclude,"The paper describes a clinical study on autonomous robotic-assisted full-arch implant surgery, which falls under dental surgery. Dental surgery is explicitly excluded per the specialty scope criteria. Additionally, the abstract does not mention any autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action, which is a required inclusion criterion.",include,"The paper describes autonomous robotic-assisted full-arch implant surgery, which involves a physical surgical task (dental implant surgery). The ADIR system is an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The study is a prospective clinical study, which is a peer-reviewed original research paper. The paper is in English and published within the specified timeframe (2010–2025). Although the specialty is dental surgery, which is excluded, the task described (full-arch implant surgery) is not specialty-specific and is considered a generalizable autonomous capability. Therefore, it meets the inclusion criteria.",True,FLAGGED,,,FLAGGED,False,False,False,False,f8ec69156f6a6ed00b29830f6048359f9a978b36f20266bf25742355883267a0,,6.733,,False
600,EE-448,exclude,include,"The paper describes an autonomous robotic osteotomy system for mandibular ramal bone harvest, evaluated against manual surgery using phantom models. It involves a physical surgical task (bone harvesting), an autonomous robotic component that controls the execution of the surgical action, and reports on task accuracy and error rates. The study is peer-reviewed, in English, and published within the specified timeframe. While the specialty is oral and maxillofacial surgery, which is excluded, the task described (bone harvesting) is considered a generalizable autonomous capability and thus included under the 'bench/preclinical autonomy' category.",include,"The paper describes an autonomous robotic osteotomy system for mandibular ramal bone harvest, involving a physical surgical task on a phantom model. It evaluates the accuracy of the robotic system compared to manual surgery, which aligns with the review's focus on autonomous or semi-autonomous surgical robotic systems performing physical surgical tasks. The study involves a physical robot executing a surgical action, and the outcomes include task accuracy and error rates. The specialty is oral and maxillofacial surgery, which is excluded, but the paper describes a generalizable autonomous task (osteotomy) performed in an orthopedic context (mandibular ramal bone harvest), which is included under the specialty scope. The paper is in English, peer-reviewed, and published between 2010 and 2025.",False,IN,exclude,"The specialty is oral and maxillofacial surgery (mandibular osteotomy), which is explicitly excluded. While bench/preclinical tasks are included regardless of specialty, this is a specific surgical task within an excluded specialty. The abstract does describe autonomous execution, a physical task, and original research, but fails the specialty scope criteria.",FLAGGED,False,False,False,False,883fec640d60e2b389d6c835bbc6e78b1d806bc56036abc010478399d528d9aa,e45e5d57aa35a0b6ced8323a1533235ceb282da6a51be6f08daf058ce9950e92,8.935,9.46,False
257,EE-105,exclude,exclude,"The paper describes a robotic-assisted surgical system for impacted teeth extraction in children, but it does not mention any level of autonomy in the robotic system. The intervention is described as 'robotic-assisted,' which implies continuous human control rather than autonomous or semi-autonomous behavior. Since the paper does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action, it does not meet the inclusion criteria.",exclude,"The paper describes a robotic-assisted surgical system for impacted teeth extraction in children, but it does not mention any level of autonomy in the robotic system. The intervention is described as 'robotic-assisted,' which implies continuous human control rather than autonomous or semi-autonomous behavior. Since the paper does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action, it does not meet the inclusion criteria.",False,OUT,,,OUT,False,False,False,False,0d1092eb839a7e1902bf9a48e6414454bee5910c2bd11999027b66b1a5f5a145,,6.462,,False
258,EE-106,exclude,include,"The paper involves a semi-autonomous robotic system (SARS) performing a physical surgical task (implant placement) in an in-vivo model (completely edentulous models). It compares the SARS to a dynamic navigation system (DNS), which can be considered a comparator. The study evaluates task accuracy (trueness and precision) and includes outcomes such as deviation measurements. The paper is peer-reviewed, in English, and published between 2010 and 2025. The robotic system controls the physical execution of the surgical task, meeting the inclusion criteria for autonomy. The specialty is dental surgery, which is excluded, but the task (implant placement) is considered a generalizable autonomous capability and is included under the 'bench/preclinical autonomy' category.",include,"The paper involves a semi-autonomous robotic system (SARS) performing a physical surgical task (implant placement) in an in-vivo model (completely edentulous models). It compares the SARS to a dynamic navigation system (DNS), which can be considered a comparator. The study evaluates task accuracy (trueness and precision) and includes outcomes such as deviation measurements. The robotic system controls the physical robot to execute the surgical action, meeting the inclusion criteria for an autonomous or semi-autonomous robotic component. The study is peer-reviewed, in English, and published between 2010 and 2025. The specialty is dental surgery, which is excluded, but the task (implant placement) is considered a generalizable autonomous capability, thus it is included.",False,IN,exclude,"The study focuses on dental implant surgery, which is explicitly excluded from the specialty scope. While a robotic system is involved, the surgical task is within a excluded specialty.",FLAGGED,False,False,False,False,8468eb5546da7ac5b9c82ba10ec17aebeefbf5361d258f263fc36a9527079071,f5d9295499cebe11210208f0b6cd209196619ce400af80b3e6220c872994d8f2,10.046,6.72,False
261,EE-109,exclude,exclude,"The paper describes a study involving cochlear implant electrode insertion, which falls under ophthalmic surgery, which is explicitly excluded per the specialty scope criteria. Additionally, the abstract does not mention any autonomous or semi-autonomous robotic component controlling or directing a physical robot to execute a surgical action, which is a required inclusion criterion.",exclude,"The paper describes a study involving cochlear implant electrode insertion, which falls under ophthalmic surgery, which is explicitly excluded per the specialty scope criteria. Additionally, the abstract does not mention any autonomous or semi-autonomous robotic component controlling or directing a physical robot to execute a surgical action, which is a required inclusion criterion.",False,OUT,,,OUT,False,False,False,False,dd4cc1fe5feaa76a66b7f4f99cac13ab643944d5182854b8aa438592ce64a6d8,,4.866,,False
57,EE-026,exclude,exclude,"The paper describes a clinical trial involving robotic drilling for cochlear implantation, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The robotic drilling is performed under the guidance of preoperative imaging and intraoperative imaging, but the actual drilling is not autonomously executed by the robotic system. The procedure is manually created by the surgeon, indicating that the robotic system does not perform the physical surgical task autonomously. Additionally, the paper is a clinical trial rather than a peer-reviewed original research paper focused on autonomy in surgical robotics.",exclude,"The paper describes a robotic system used in a clinical setting for cochlear implantation, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a surgical action. The robotic drilling is performed under the guidance of preoperative imaging and intraoperative imaging, but the actual drilling is not autonomous; it is likely under the control of the surgeon. Additionally, the paper is a clinical trial rather than a peer-reviewed original research paper focused on autonomy in surgical robotics. The paper also does not meet the inclusion criteria for specialty scope as it falls under ophthalmic surgery, which is excluded.",False,OUT,,,OUT,False,False,False,False,a1159e3275ed111ae8f0ec2a218d3bda93359b865966f0bd12ed12ecafc2735b,,8.062,,False
