field_name,GRANULARITY,SELECTION,OMISSION,CONTRADICTION,FABRICATION,noneq_total,pct_granularity,flag
key_limitation,408,93,38,0,0,539,75.69573283858998,
secondary_outcomes,316,78,122,4,5,525,60.1904761904762,
task_performed,418,11,38,0,4,471,88.74734607218684,GRANULARITY_SATURATED
primary_outcome_value,233,97,91,27,6,454,51.3215859030837,
primary_outcome_metric,229,147,54,1,0,431,53.1322505800464,
robot_platform,328,13,59,4,0,404,81.1881188118812,GRANULARITY_SATURATED
system_maturity,140,150,37,6,2,335,41.7910447761194,
surgical_domain,73,186,37,14,3,313,23.322683706070286,
study_design,105,143,36,0,1,285,36.84210526315789,
sample_size,53,14,147,54,16,284,18.661971830985916,
comparison_to_human,111,8,112,21,4,256,43.359375,
task_generate,63,73,40,77,1,254,24.803149606299215,
autonomy_level,102,86,33,25,5,251,40.63745019920319,
validation_setting,145,29,50,10,7,241,60.16597510373444,
task_monitor,33,79,49,28,1,190,17.36842105263158,
task_select,15,46,47,45,2,155,9.67741935483871,
clinical_readiness_assessment,59,15,36,7,0,117,50.427350427350426,
country,59,0,44,4,0,107,55.140186915887845,
task_execute,12,28,37,29,0,106,11.320754716981133,
study_type,2,8,2,0,0,12,16.666666666666664,
